INCLUDE,TITLE,PRICE_GBP,DESCRIPTION,SIZES,COLORS,TAGS,IMAGE_FOLDER,IMAGE1_LOCAL,IMAGE2_LOCAL,IMAGE3_LOCAL,IMAGE1_URL,IMAGE2_URL,IMAGE3_URL
YES,"ROBERT REDFORD Shirt, Robert Redford Homage Tshirt, Robert Redford Fan Tees, Robert Redford Retro 90s Sweater, Robert Redford Merch",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","Robert_Redford_Shirt,Robert_Redford_Tees,Robert_Redford_Fan,Robert_Redford_Merch,Robert_Redford_Gift,Robert_Redford_Film,robert_redford_tee,the_sting,redford_tshirt,robert_redford_now,robert_redford_80s,young_robert_redford,robert_redford_edit",C:\Users\rizky\matcha-tees\scraper\images\robert-redford-shirt-robert-redford-homage-tshirt-robert-red,C:\Users\rizky\matcha-tees\scraper\images\robert-redford-shirt-robert-redford-homage-tshirt-robert-red\robert-redford-shirt-robert-redford-homage-tshirt-robert-red_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\robert-redford-shirt-robert-redford-homage-tshirt-robert-red\robert-redford-shirt-robert-redford-homage-tshirt-robert-red_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\robert-redford-shirt-robert-redford-homage-tshirt-robert-red\robert-redford-shirt-robert-redford-homage-tshirt-robert-red_3.jpg,https://i.etsystatic.com/33160999/r/il/d94b53/7695284692/il_fullxfull.7695284692_ls0n.jpg,https://i.etsystatic.com/33160999/r/il/01aa99/7691704604/il_fullxfull.7691704604_h9s9.jpg,https://i.etsystatic.com/33160999/r/il/cf8c5e/7691704612/il_fullxfull.7691704612_davv.jpg
YES,"ETHAN HAWKE Shirt, Ethan Hawke Tshirt, Ethan Hawke Sweatshirt, Ethan Hawke Merch, Ethan Hawke Lover Shirt",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","Ethan_Hawke_Shirt,Ethan_Hawke_Tee,Ethan_Hawke_Tees,Ethan_Hawke_Sweater,Ethan_Hawke_Fan,Ethan_Hawke_Merch,Ethan_Hawke_Gift,Ethan_Hawke_Clothing,Ethan_Hawke_Lovers",C:\Users\rizky\matcha-tees\scraper\images\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-,C:\Users\rizky\matcha-tees\scraper\images\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-\ethan-hawke-shirt-ethan-hawke-tshirt-ethan-hawke-sweatshirt-_3.jpg,https://i.etsystatic.com/33160999/r/il/5ca68c/7695296040/il_fullxfull.7695296040_hbwh.jpg,https://i.etsystatic.com/33160999/r/il/04cb5c/7739640905/il_fullxfull.7739640905_hy96.jpg,https://i.etsystatic.com/33160999/r/il/f67f27/7691696688/il_fullxfull.7691696688_8pij.jpg
YES,"RETRO SEBASTIAN STAN Shirt, Sebastian Stan Homage Shirt Retro 90's, Bucky Barnes, Sebastian Stan Homage Shirt Retro 90's, Actor Fan",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","sebastian_stan_shirt,sebastian_stan_tee,sebastian_stan_gift,sebastian_stan_fan,sebastian_stan_fans,sebastian_stan_merch,bucky_barnes_shirt,winter_soldier_shirt,bucky_barnes_tshirt,vintage_shirt,retro_shirt,bootleg_shirt,homage_shirt",C:\Users\rizky\matcha-tees\scraper\images\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro,C:\Users\rizky\matcha-tees\scraper\images\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro\retro-sebastian-stan-shirt-sebastian-stan-homage-shirt-retro_3.jpg,https://i.etsystatic.com/33160999/r/il/89609f/7743233849/il_fullxfull.7743233849_cvte.jpg,https://i.etsystatic.com/33160999/r/il/aad563/7739649147/il_fullxfull.7739649147_rmkf.jpg,https://i.etsystatic.com/33160999/r/il/c7313e/7739649135/il_fullxfull.7739649135_nlxu.jpg
YES,"THOMAS DOHERTY Shirt, Thomas Doherty Tshirt, Thomas Doherty Sweatshirt, Thomas Doherty Merch, Thomas Doherty Lover Shirt",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","Thomas_Doherty_Shirt,Thomas_Doherty_Tee,Thomas_Doherty_Tees,Thomas_Doherty_Fan,Thomas_Doherty_Merch,Thomas_Doherty_Gift",C:\Users\rizky\matcha-tees\scraper\images\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw,C:\Users\rizky\matcha-tees\scraper\images\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw\thomas-doherty-shirt-thomas-doherty-tshirt-thomas-doherty-sw_3.jpg,https://i.etsystatic.com/33160999/r/il/d79184/7743205977/il_fullxfull.7743205977_t961.jpg,https://i.etsystatic.com/33160999/r/il/c93f58/7691706458/il_fullxfull.7691706458_iy5q.jpg,https://i.etsystatic.com/33160999/r/il/16f057/7691706462/il_fullxfull.7691706462_lrx3.jpg
YES,"STEPHEN KING Shirt, Stephen King Tshirt, Stephen King Sweatshirt, Stephen King Merch, Stephen King Lover Shirt",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","Stephen_King_Shirt,Stephen_King_Tee,Stephen_King_Tees,Stephen_King_Sweater,Stephen_King_Fan,Stephen_King_Merch,Stephen_King_Gift,Stephen_King_Lovers",C:\Users\rizky\matcha-tees\scraper\images\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi,C:\Users\rizky\matcha-tees\scraper\images\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi\stephen-king-shirt-stephen-king-tshirt-stephen-king-sweatshi_3.jpg,https://i.etsystatic.com/33160999/r/il/ac1d10/7695272212/il_fullxfull.7695272212_5f3m.jpg,https://i.etsystatic.com/33160999/r/il/2f89ae/7739650027/il_fullxfull.7739650027_3m2w.jpg,https://i.etsystatic.com/33160999/r/il/7c73a2/7691705870/il_fullxfull.7691705870_b44p.jpg
YES,"SOPHIE THATCHER Shirt, Sophie Thatcher Tshirt, Sophie Thatcher Sweatshirt, Sophie Thatcher Merch, Sophie Thatcher Lover Shirt",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","Sophie_Thatcher_Tee,Sophie_Thatcher_Tees,Sophie_Thatcher_Fan,Sophie_Thatcher_Gift",C:\Users\rizky\matcha-tees\scraper\images\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher,C:\Users\rizky\matcha-tees\scraper\images\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher\sophie-thatcher-shirt-sophie-thatcher-tshirt-sophie-thatcher_3.jpg,https://i.etsystatic.com/33160999/r/il/6ddaf5/7695279700/il_fullxfull.7695279700_njj3.jpg,https://i.etsystatic.com/33160999/r/il/ad3aed/7691705508/il_fullxfull.7691705508_6bdf.jpg,https://i.etsystatic.com/33160999/r/il/1e804c/7691705512/il_fullxfull.7691705512_n52z.jpg
YES,"TOM SELLECK Vintage Shirt, Tom Selleck Homage TShirt, Tom Selleck Fan Tees, Tom Selleck Retro 90s Shirt, Tom Selleck Merch Gift",8.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","COMFORT COLORS® - S, COMFORT COLORS® - M, COMFORT COLORS® - L, COMFORT COLORS® - XL, COMFORT COLORS® -2XL, COMFORT COLORS® -3XL, COMFORT COLORS® -4XL, XS, S, M, L, XL, 2XL, 3XL, 4XL, Stickers (6&quot;)","White, Black, Navy, Charcoal : Pepper, Sport Grey, Daisy, Light Blue, Light Pink, Other Colors","vintage_tom_selleck,90s_tom_selleck,thomas_magnum,richard_burke,magnum_pi_shirt,tom_selleck_t-shirt,tom_selleck_print,tom_selleck_shirt,tom_selleck_sweater,tom_selleck_merch,tom_selleck_gift,tom_selleck_hoodie,tom selleck tee",C:\Users\rizky\matcha-tees\scraper\images\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell,C:\Users\rizky\matcha-tees\scraper\images\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell\tom-selleck-vintage-shirt-tom-selleck-homage-tshirt-tom-sell_3.jpg,https://i.etsystatic.com/33160999/r/il/b8f2a4/7695257576/il_fullxfull.7695257576_3eyk.jpg,https://i.etsystatic.com/33160999/r/il/7d6b09/7691706990/il_fullxfull.7691706990_ddxt.jpg,https://i.etsystatic.com/33160999/r/il/3f5fc3/7691707000/il_fullxfull.7691707000_fowz.jpg
YES,"Jeff Bezos Retro Shirt, Jeff Bezos Homage Shirt, Jeff Bezos Shirt, Jeff Bezos Entrepreneur Shirt, Rich Shirt, Jeff Bezos Amazon CEO Edition",20.99,"Jeff Bezos Retro Shirt, Jeff Bezos Homage Shirt, Jeff Bezos Shirt, Jeff Bezos Entrepreneur Shirt, Rich Shirt, Jeff Bezos Amazon CEO Edition  *COVID-19 & SHIPPING DELAYS* -We and the shipping carrier are NOT able to Guarantee any specific delivery date. We, like everyone else, have been affected by Covid-19 delays including supply chain and delivery issues, along with the Holiday demand which may cause delays as well. -We are doing our absolute best to ship your items by the estimated date that E","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","clothing,tee,shirt,top_and_tees,retro,christmas_gift,best_gift,Jeff_Bezos,Jeff_Bezos_Shirt,CEO_Shirt,Jeff_Bezos_GIft,Rich_People_Shirt,Entrepreneur",C:\Users\rizky\matcha-tees\scraper\images\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh,C:\Users\rizky\matcha-tees\scraper\images\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh\jeff-bezos-retro-shirt-jeff-bezos-homage-shirt-jeff-bezos-sh_3.jpg,https://i.etsystatic.com/33160999/r/il/421880/3783319750/il_fullxfull.3783319750_hsc3.jpg,https://i.etsystatic.com/33160999/r/il/0414ff/3830910807/il_fullxfull.3830910807_54yt.jpg,https://i.etsystatic.com/33160999/r/il/117ec8/3783313890/il_fullxfull.3783313890_6z0m.jpg
YES,"DEREK SHEPHERD Shirt, Derek Shepherd Vintage Tshirt, Derek Shepherd Tees, Derek Shepherd Retro 90s Sweater, Derek Shepherd Merch Gift",17.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","Derek_Shepherd,Derek_Shepherd_Shirt,Derek_Shepherd_Fan,Derek_Shepherd_Tees,Derek_Shepherd_Gift,Y2k_Shirt,Funny_Tees,Gift_for_fan,Gift_Tees,Bootleg_Shirt",C:\Users\rizky\matcha-tees\scraper\images\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she,C:\Users\rizky\matcha-tees\scraper\images\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she\derek-shepherd-shirt-derek-shepherd-vintage-tshirt-derek-she_3.jpg,https://i.etsystatic.com/33160999/r/il/b78746/7269286710/il_fullxfull.7269286710_6lbg.jpg,https://i.etsystatic.com/33160999/r/il/f5ff63/7231784941/il_fullxfull.7231784941_dj87.jpg,https://i.etsystatic.com/33160999/r/il/cf80ec/7183800820/il_fullxfull.7183800820_evhv.jpg
YES,"TIM ALLEN Vintage Shirt, Tim Allen Homage Tshirt, Tim Allen Fan Tees, Tim Allen Comedian Retro Sweater, Funny Tim Allen Merch Gift",17.99,"**C H A N G E / R E Q U E S T** ALL THE LISTINGS ARE CUSTOMIZABLE! Feel free to chat us or use ""Add message to Seller"" link On The Checkout Page so we can modify it for free charges. Also If you want this design to be applied to other products, we will immediately create the listing for you. If you have something special in mind, please let a small business be a part of your idea!    ***PRODUCT DETAILS*** - 100% Cotton (fiber content may vary for different colors) - Light fabric (5.3 oz/yd² (180","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","Tim_Allen_Shirt,Tim_Allen_Tshirt,Tim_Allen_Tees,Tim_Allen_Sweater,Tim_Allen_Fan,Tim_Allen_Merch,Tim_Allen_Sweatshirt,Tim_Allen_Gift,Tim_Allen_Clothing,Tim_Allen_funny,Tim_Allen_comedy,Tim_Allen_jokes,Tim_Allen_quote",C:\Users\rizky\matcha-tees\scraper\images\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa,C:\Users\rizky\matcha-tees\scraper\images\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa\tim-allen-vintage-shirt-tim-allen-homage-tshirt-tim-allen-fa_3.jpg,https://i.etsystatic.com/33160999/r/il/022697/6673460435/il_fullxfull.6673460435_8uwb.jpg,https://i.etsystatic.com/33160999/r/il/9155fc/6613466460/il_fullxfull.6613466460_8ypi.jpg,https://i.etsystatic.com/33160999/r/il/0e971c/6613466462/il_fullxfull.6613466462_gvo3.jpg
YES,"Retro Fitzwilliam Darcy Shirt, Fitzwilliam Darcy Tees, Vintage Fitzwilliam Darcy T-shirt, Pride and Prejudice, Gift for fan",17.99,"Retro Fitzwilliam Darcy Shirt, Fitzwilliam Darcy Tees, Vintage Fitzwilliam Darcy T-shirt, Pride and Prejudice, Gift for fan  *COVID-19 & SHIPPING DELAYS* -We and the shipping carrier are NOT able to Guarantee any specific delivery date. We, like everyone else, have been affected by Covid-19 delays including supply chain and delivery issues, along with the Holiday demand which may cause delays as well. -We are doing our absolute best to ship your items by the estimated date that Etsy provides, bu","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","y2k,Fitzwilliam_Darcy,Fitzwilliam_shirt,Pride_and_Prejudice,mr_darcy_shirt,prejudice_gift,matthew_macfayden,jane_austen_shirt,book_club_present,book_club_shirt,mr_darcy_tshirt,Gift_For_Fan,Fitzwilliam_Tees",C:\Users\rizky\matcha-tees\scraper\images\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage,C:\Users\rizky\matcha-tees\scraper\images\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage\retro-fitzwilliam-darcy-shirt-fitzwilliam-darcy-tees-vintage_3.jpg,https://i.etsystatic.com/33160999/r/il/b2f738/5378973984/il_fullxfull.5378973984_b1eg.jpg,https://i.etsystatic.com/33160999/r/il/538e1a/5378968662/il_fullxfull.5378968662_hj0z.jpg,https://i.etsystatic.com/33160999/r/il/7344f2/5427133763/il_fullxfull.5427133763_ixas.jpg
YES,"RICKY MARTIN Vintage Shirt, Ricky Martin Homage Tshirt, Ricky Martin Fan Tees, Ricky Martin Retro 90s Sweater, Ricky Martin Merch Gift",17.99,"RICKY MARTIN Vintage Shirt, Ricky Martin Homage Tshirt, Ricky Martin Fan Tees, Ricky Martin Retro 90s Sweater, Ricky Martin Merch Gift  *COVID-19 & SHIPPING DELAYS* -We and the shipping carrier are NOT able to Guarantee any specific delivery date. We, like everyone else, have been affected by Covid-19 delays including supply chain and delivery issues, along with the Holiday demand which may cause delays as well. -We are doing our absolute best to ship your items by the estimated date that Etsy p","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","Ricky_Martin_Shirt,Ricky_Martin_Tshirt,Ricky_Martin_Tees,Ricky_Martin_Sweater,Ricky_Martin_Fan,Ricky_Martin_Merch,Ricky_Martin_Gift,Ricky_Martin__Movie,Ricky_Martin__Film,puerto_rico,sebastian_yatra,maluma",C:\Users\rizky\matcha-tees\scraper\images\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-,C:\Users\rizky\matcha-tees\scraper\images\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-\ricky-martin-vintage-shirt-ricky-martin-homage-tshirt-ricky-_3.jpg,https://i.etsystatic.com/33160999/r/il/da6290/5090022349/il_fullxfull.5090022349_8g9m.jpg,https://i.etsystatic.com/33160999/r/il/63a5ad/5041778246/il_fullxfull.5041778246_g85u.jpg,https://i.etsystatic.com/33160999/r/il/a4df44/5090003035/il_fullxfull.5090003035_1zcx.jpg
YES,"SIGMA MALE Patrick Bateman Vintage Shirt, Patrick Bateman Homage Tshirt, Patrick Bateman Fan, Patrick Bateman Retro 90s Tee, Sigma Male Gift",17.99,"PATRICK BATEMAN Vintage Shirt, Patrick Bateman Homage Tshirt, Patrick Bateman Fan Tees, Patrick Bateman Retro 90s Tee, Sigma Male Gift  *COVID-19 & SHIPPING DELAYS* -We and the shipping carrier are NOT able to Guarantee any specific delivery date. We, like everyone else, have been affected by Covid-19 delays including supply chain and delivery issues, along with the Holiday demand which may cause delays as well. -We are doing our absolute best to ship your items by the estimated date that Etsy p","XS, S, M, L, XL, 2XL, 3XL","White, Black, Navy, Sport Grey, Daisy, Light Blue, Light Pink","Patrick_Bateman_Tees,Patrick_Bateman_Fan,Patrick_Bateman_Gift,Bateman_Sweater,American_Psycho,American_Psycho_Tee,American_Psycho_Tees,American_Psycho_Fan,American_Psycho_Gift,Christian_Bale,Bret_Easton_Ellis,Sigma_Male,Sigma_Fan",C:\Users\rizky\matcha-tees\scraper\images\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom,C:\Users\rizky\matcha-tees\scraper\images\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom_1.jpg,C:\Users\rizky\matcha-tees\scraper\images\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom_2.jpg,C:\Users\rizky\matcha-tees\scraper\images\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom\sigma-male-patrick-bateman-vintage-shirt-patrick-bateman-hom_3.jpg,https://i.etsystatic.com/33160999/r/il/d688c3/4491075556/il_fullxfull.4491075556_70le.jpg,https://i.etsystatic.com/33160999/r/il/91614c/4491066660/il_fullxfull.4491066660_g0ex.jpg,https://i.etsystatic.com/33160999/r/il/28f8ee/4538435195/il_fullxfull.4538435195_er3c.jpg
